,title,film_id,actor,category,description,length,rating,rental_rate,rental_duration
0,Academy Dinosaur,1,Penelope Guiness,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,86,PG,0.99,6
1,Anaconda Confessions,23,Penelope Guiness,Animation,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,92,R,0.99,3
2,Angels Life,25,Penelope Guiness,New,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,74,G,2.99,3
3,Bulworth Commandments,106,Penelope Guiness,Games,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,61,G,2.99,4
4,Cheaper Clyde,140,Penelope Guiness,Sci-Fi,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,87,G,0.99,6
5,Color Philadelphia,166,Penelope Guiness,Classics,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,149,G,2.99,6
6,Elephant Trojan,277,Penelope Guiness,Horror,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,126,PG-13,4.99,4
7,Gleaming Jawbreaker,361,Penelope Guiness,Sports,A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies,89,NC-17,2.99,5
8,Human Graffiti,438,Penelope Guiness,Games,A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico,68,NC-17,2.99,3
9,King Evolution,499,Penelope Guiness,Family,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,184,NC-17,4.99,3
10,Lady Stage,506,Penelope Guiness,Horror,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,67,PG,4.99,4
11,Language Cowboy,509,Penelope Guiness,Children,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,78,NC-17,0.99,5
12,Mulholland Beast,605,Penelope Guiness,Foreign,A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat,157,PG,2.99,7
13,Oklahoma Jumanji,635,Penelope Guiness,New,A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert,58,PG,0.99,7
14,Rules Human,749,Penelope Guiness,Horror,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,153,R,4.99,6
15,Splash Gump,832,Penelope Guiness,Family,A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank,175,PG,0.99,5
16,Vertigo Northwest,939,Penelope Guiness,Comedy,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,90,R,2.99,4
17,Westward Seabiscuit,970,Penelope Guiness,Classics,A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China,52,NC-17,0.99,7
18,Wizard Coldblooded,980,Penelope Guiness,Music,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,75,PG,4.99,4
19,Adaptation Holes,3,Nick Wahlberg,Documentary,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,50,NC-17,2.99,7
20,Apache Divine,31,Nick Wahlberg,Family,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,92,NC-17,4.99,5
21,Baby Hall,47,Nick Wahlberg,Foreign,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,153,NC-17,4.99,5
22,Bull Shawshank,105,Nick Wahlberg,Action,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,125,NC-17,0.99,6
23,Chainsaw Uptown,132,Nick Wahlberg,Sci-Fi,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,114,PG,0.99,6
24,Chisum Behavior,145,Nick Wahlberg,Family,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,124,G,4.99,5
25,Destiny Saturday,226,Nick Wahlberg,New,A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia,56,G,4.99,4
26,Dracula Crystal,249,Nick Wahlberg,Classics,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,176,G,0.99,7
27,Fight Jawbreaker,314,Nick Wahlberg,Animation,A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse,91,R,0.99,3
28,Flash Wars,321,Nick Wahlberg,New,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,123,NC-17,4.99,3
29,Gilbert Pelican,357,Nick Wahlberg,Classics,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,114,G,0.99,7
